# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = fastbreak_model
# start_datetime = 2025-10-05 00:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sine_data.json
# init = 2 (Default)
# random
#   seed = 3103514897 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,psi.1,psi.2,psi.3,psi.4
# Adaptation terminated
# Step size = 0.0171387
# Diagonal elements of inverse mass matrix:
# 0.00238716, 0.158083, 0.857078, 0.987253, 0.2091, 0.280006, 0.632137, 0.00120071, 0.00116149, 0.00131869, 0.00236363
-119.57639,0.97610851,0.017138713,8,255,0,121.9342,0.97567232,0.17483882,6.8671045,-14.799717,15.864386,-15.557398,11.876731,0.835136,2.3743,3.915573,5.3693577
-120.85964,0.93084827,0.017138713,8,511,0,122.73386,1.0518205,0.22558756,8.2985126,-16.393764,16.354929,-16.005997,13.282566,0.7550857,2.3510372,3.8880511,5.436666
-119.81369,0.94427444,0.017138713,8,319,0,124.33171,0.98120496,0.11363623,6.8247258,-15.263063,16.367528,-15.641593,12.914282,0.86985598,2.3638988,3.9421425,5.4245528
-118.86967,0.97540314,0.017138713,7,255,0,121.63233,0.94469887,0.45721743,7.4928753,-16.107046,16.511056,-15.497944,13.075757,0.81516875,2.3319285,3.9064629,5.4293619
-119.65665,0.9990959,0.017138713,7,127,0,123.19618,1.0300244,-0.050931722,7.4108033,-15.64375,16.045965,-15.384045,13.662407,0.84096708,2.3422787,3.9022901,5.4463322
-120.98596,0.99968658,0.017138713,7,255,0,123.61922,1.0297022,0.20940333,7.9063263,-16.711866,16.155766,-15.01108,14.338273,0.81664897,2.2899465,3.9421002,5.4606223
-121.96241,0.95075341,0.017138713,8,255,0,124.53887,0.9776129,-0.011810511,9.0040788,-17.00271,16.262483,-15.836691,11.370431,0.74180198,2.3890014,3.9139319,5.3723567
-120.8802,0.95644677,0.017138713,8,255,0,126.96415,1.0068965,0.050456796,7.4118001,-15.138493,15.851507,-16.131289,11.729791,0.81021033,2.4048081,3.9222009,5.3054449
-120.06266,0.81148586,0.017138713,7,255,0,124.71436,1.0481039,0.19712312,7.7194511,-15.777452,15.98747,-15.798884,12.43884,0.77230408,2.3450697,3.9298933,5.4007111
-118.73112,0.98826793,0.017138713,8,255,0,121.25639,0.99612717,-0.20561522,8.3732737,-16.124477,15.967098,-15.580859,13.126607,0.78128923,2.4050277,3.8938692,5.4608885
-117.77944,0.90564153,0.017138713,8,255,0,120.68384,1.0183717,0.16534771,7.4137474,-15.854955,16.734215,-15.753036,12.143792,0.82424474,2.3614652,3.8916401,5.4106147
-123.47443,0.67740048,0.017138713,7,255,0,127.02171,0.97034349,0.55052545,7.0245427,-15.413895,16.988209,-16.378141,12.94124,0.82874736,2.3795515,3.8831658,5.4508116
-124.61151,0.99974656,0.017138713,8,511,0,130.70042,1.0388265,0.1467444,8.2559282,-17.273974,16.593831,-15.047082,13.32835,0.82848124,2.317477,3.9557156,5.4893975
-127.2603,0.99045368,0.017138713,8,255,0,132.57979,1.0137441,-0.10466175,8.2247468,-15.976785,16.271271,-17.285771,11.489023,0.7670386,2.3930916,3.9332116,5.2850848
-130.17507,0.43458717,0.017138713,8,255,0,137.34234,1.0759851,-0.0017743935,7.7262447,-16.017848,16.865358,-15.554116,13.525667,0.83397487,2.4015578,3.8732808,5.4696748
-124.2822,0.96726734,0.017138713,8,511,0,134.45316,0.99912061,-0.090783558,7.3969215,-15.747964,15.718473,-15.775004,12.160403,0.85975989,2.3476283,3.9765764,5.2845552
-124.12966,0.83389902,0.017138713,7,127,0,129.67403,1.0238643,0.64293727,7.1616957,-16.308024,16.274511,-15.066327,11.806328,0.83999699,2.261282,3.9624879,5.3205208
-118.26844,0.80358755,0.017138713,7,255,0,129.56785,1.0267543,0.25206147,7.2960421,-16.03797,16.554321,-15.185724,12.675121,0.85188207,2.3333737,3.9180393,5.4635772
-119.39468,0.81223024,0.017138713,8,255,0,125.83189,1.0381068,0.23654061,7.2499247,-16.224198,16.908186,-15.19591,12.453896,0.86450083,2.3169783,3.8906359,5.4398089
-123.59666,0.91621393,0.017138713,8,255,0,128.34551,1.0546234,-0.093522264,8.1087547,-16.56405,16.98742,-15.47476,13.502964,0.79202052,2.3629107,3.8578353,5.5181416
-125.08071,0.99853495,0.017138713,8,255,0,128.65097,1.0429879,-0.25656241,8.4635138,-16.505138,16.869502,-15.63074,13.830058,0.77883742,2.408296,3.8435164,5.5058524
-126.32465,0.92594134,0.017138713,7,127,0,131.50917,1.0416797,-0.1214386,8.869875,-16.962089,16.714825,-15.456752,13.879591,0.77162949,2.38518,3.8369077,5.5705573
-122.39271,0.97519373,0.017138713,8,255,0,130.53834,1.0018049,-0.86284471,9.3620412,-17.741882,16.521007,-16.094396,12.167647,0.77885623,2.3472079,3.9227162,5.3501931
-120.60666,0.96869785,0.017138713,8,255,0,128.67714,1.0379978,-0.46480203,9.0180676,-17.327105,15.91669,-15.413322,14.136502,0.7659446,2.3192727,3.9504078,5.4591498
-119.79468,0.99871788,0.017138713,8,511,0,123.40722,0.94866032,-0.076615823,7.6283529,-15.683193,16.451898,-15.840251,11.410454,0.81591996,2.3825784,3.8784088,5.3951785
-124.05435,0.62783288,0.017138713,8,255,0,127.86113,1.1093344,-0.14759061,7.7685142,-15.744614,15.94404,-15.749153,14.24463,0.79757508,2.342867,3.8898362,5.4462936
-124.21215,0.98805922,0.017138713,8,511,0,130.67841,0.98525765,0.71781009,6.3053525,-14.435361,16.158636,-15.286967,12.067259,0.84296934,2.3895067,3.930036,5.4196386
-124.83931,0.99955564,0.017138713,8,255,0,128.30368,0.98702787,0.65567261,5.7188541,-14.026857,16.604883,-15.364537,11.51438,0.86743709,2.3608334,3.8820879,5.445405
-122.64966,0.99337127,0.017138713,8,255,0,128.07872,1.0576773,-0.15488104,8.4996523,-16.80103,16.622129,-16.192589,13.880268,0.80526856,2.3995895,3.941437,5.4702255
-121.32985,0.99967467,0.017138713,7,255,0,126.32946,1.0324533,-0.2461367,8.0462555,-15.7967,16.196722,-15.850596,11.896626,0.78543015,2.3897996,3.8566543,5.3693252
-120.49229,0.88458649,0.017138713,7,255,0,126.33688,0.98633005,-0.1715372,7.6038021,-15.30111,16.07881,-15.952195,11.770508,0.80866816,2.4099959,3.8973429,5.3761572
-120.45026,0.99192342,0.017138713,7,255,0,124.24531,1.0117945,-0.27029047,7.8594347,-15.66232,16.114861,-15.994427,11.836324,0.81314989,2.405759,3.9057096,5.4013264
-120.32399,0.91629569,0.017138713,7,223,0,126.83636,0.97853124,0.12558617,7.648721,-15.888449,16.106257,-15.394983,11.696462,0.81658669,2.3465059,3.8947238,5.3507411
-119.75738,0.99515005,0.017138713,8,255,0,122.17194,1.0271236,0.20680951,7.6222217,-16.053766,16.129739,-14.977879,12.058533,0.80843253,2.3197301,3.8862411,5.4045057
-118.09695,0.98266153,0.017138713,5,63,0,121.16225,1.0300768,0.27066028,7.5859001,-15.992971,16.10995,-14.99865,12.00937,0.81113411,2.3230135,3.9003576,5.4306507
-119.86655,0.97904441,0.017138713,8,255,0,122.99048,1.0082684,0.53639524,6.8342947,-15.420213,16.610113,-16.293063,14.079903,0.83365726,2.3357142,3.9383478,5.3937904
-120.6701,0.99734577,0.017138713,8,255,0,124.23586,1.0545721,0.40114419,6.8681009,-14.907361,16.214183,-16.118485,13.854935,0.81581969,2.3726022,3.9210012,5.4005184
-120.12357,0.98769141,0.017138713,8,255,0,124.07111,1.0568376,0.52948077,7.085365,-15.127015,16.108628,-16.07033,13.438309,0.80937723,2.3852778,3.9547286,5.4434481
